"Name","Version","Package","Type","Size","Source"
"Chameleon Suite APP-V4.6","2.9","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_1fd31ad0-f427-41e6-a529-48a06a30f755/7","Application","15.5776395797729","\\lounaswps01\idrive\d907ats\source\6382\install"
"LearningWare GameShow Pro 4","4","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_68f0f43a-41f5-4be5-9fa6-929d28ba6eda/2","Application","33.8275671005249","\\lounaswps01\idrive\d907ats\Source\6122\Install\App-V"
"Scooter Software Beyond Compare 3.3.8","3.3.8","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_33972265-3765-4ec2-96ae-193ecff4a6c7/2","Application","7.91900730133057","\\lounaswps01\idrive\d907ats\5914\install\App-V"
"Scooter Software Beyond Compare Professional 3.3.8","3.3.8","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_a085ff9e-a29c-4613-8d61-356f7ebfcc2b/2","Application","7.91540336608887","\\lounaswps01\idrive\d907ats\Source\5915\Install\App-V"
"Minitabs 16","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_832d8fee-2454-40ad-bc49-78e9f2eac14b/3","Application","127.190663337708","\\loumilwps42\Appv\Minitab16"
"iTunes 11","11.1.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_052899d3-2bc3-44d5-ac9f-5930a37a5039/1","Application","215.816204071045","\\lounaswps01\pdrive\d907ats\5761\App-V"
"Coding and Reimbursement System Humana MRA","6.17 SP3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_63f58054-f71c-43f7-adb7-91c55982ae6a/2","Application","1220.78569030762","\\lounaswps01\pdrive\d907ats\6527\appv"
"Don Ho Notepad++ 6.5.1","6.5.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_190234b8-26d5-40de-96d2-e799405684e8/3","Application","7.54467105865479","\\lounaswps01\idrive\d907ats\Source\6566\Install\App-V"
"Firefox","24","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_6600a596-2dee-4efd-9b56-5c8a2e668ac8/4","Application","47.6886415481567","\\lounaswps01\idrive\d907ats\Source\6548\Install\App-V"
"Altova XMLSpy Professional 2013 AppV5","2013 w/SP1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_ba3faf60-bf43-412e-b10a-22df2725a48c/5","Application","199.636690139771","\\lounaswps01\idrive\d907ats\source\5516\install"
"Modeler for Visio Version 4.0","2.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_601d0569-6f32-479f-a9a7-88c3210da17c/1","Application","13.3518199920654","\\lounaswps01\pdrive\d907ats\5414\install"
